,loss
1155,0.4223479
1156,0.4222959
1157,0.422243
1158,0.42218977
1159,0.4221368
1160,0.4220846
1161,0.42203316
1162,0.4219824
1163,0.42193204
1164,0.42188168
1165,0.4218312
1166,0.42178044
1167,0.4217295
1168,0.4216786
1169,0.42162782
1170,0.42157722
1171,0.42152703
1172,0.42147714
1173,0.42142746
1174,0.42137805
1175,0.4213288
1176,0.4212797
1177,0.4212307
1178,0.42118177
1179,0.42113292
1180,0.42108423
1181,0.42103565
1182,0.4209872
1183,0.42093885
1184,0.42089072
1185,0.42084277
1186,0.420795
1187,0.42074737
1188,0.42069995
1189,0.42065272
1190,0.42060566
1191,0.42055884
1192,0.42051214
1193,0.42046565
1194,0.42041942
1195,0.42037338
1196,0.42032748
1197,0.42028186
1198,0.42023653
1199,0.4201915
1200,0.42014676
1201,0.42010254
1202,0.4200589
1203,0.420016
1204,0.4199743
1205,0.41993383
1206,0.41989517
1207,0.4198582
1208,0.41982228
1209,0.4197851
1210,0.41974375
1211,0.4196948
1212,0.41963908
1213,0.41958165
1214,0.41952953
1215,0.41948593
1216,0.41944864
1217,0.41941234
1218,0.41937175
1219,0.4193251
1220,0.41927466
1221,0.41922495
1222,0.4191792
1223,0.419137
1224,0.4190953
1225,0.4190508
1226,0.41900253
1227,0.41895142
1228,0.4188999
1229,0.41884923
1230,0.41879898
1231,0.41874728
1232,0.41869235
1233,0.41863364
1234,0.41857156
1235,0.41850734
1236,0.4184413
1237,0.41837302
1238,0.41830197
1239,0.4182274
1240,0.4181495
1241,0.418069
1242,0.41798687
1243,0.4179034
1244,0.4178187
1245,0.41773206
1246,0.41764322
1247,0.41755232
1248,0.41746005
1249,0.41736752
1250,0.4172758
1251,0.41718578
1252,0.41709802
1253,0.41701293
1254,0.4169306
1255,0.41685107
1256,0.41677442
1257,0.41670048
1258,0.41662946
1259,0.4165612
1260,0.41649577
1261,0.41643295
1262,0.41637236
1263,0.41631365
1264,0.41625643
1265,0.41620052
1266,0.41614583
1267,0.4160924
1268,0.41603994
1269,0.4159882
1270,0.41593692
1271,0.4158861
1272,0.41583568
1273,0.41578576
1274,0.41573626
1275,0.41568702
1276,0.41563806
1277,0.4155895
1278,0.41554135
1279,0.41549358
1280,0.41544628
1281,0.41539946
1282,0.41535312
1283,0.41530722
1284,0.4152618
1285,0.41521692
1286,0.41517258
1287,0.41512883
1288,0.4150855
1289,0.41504264
1290,0.4150002
1291,0.41495824
1292,0.41491666
1293,0.41487557
1294,0.4148348
1295,0.41479433
1296,0.41475415
1297,0.41471437
1298,0.41467482
1299,0.41463545
1300,0.41459644
1301,0.4145576
1302,0.41451892
1303,0.41448054
1304,0.4144424
1305,0.4144043
